aerogenerador,material,quantidade_aerogenerador_material,unidade_medida,preco_aerogenerador_material,moeda,desc_grupo,idade_turbina,mtbf_aerogenerador_material,mtbf_aerogenerador,mtbf_material,quantidade_media_material,preco_medio_material,preco_aerogenerador
WF-BR-0PI-1219-Y1-A-001,50116,3.0,UN,765.53,BRL-BRL,Other mechanical components,10.049999999999997,76 days 00:00:00,12 days 23:10:49.756097561,38 days 19:19:01.463414634,0.04121863799283154,10.373566308243728,151505.6
WF-BR-0PI-1219-Y1-A-001,GP018876,4.0,UN,309.84000000000003,BRL-BRL,Refrigeration system components,10.049999999999997,152 days 00:00:00,12 days 23:10:49.756097561,63 days 01:48:00,0.07725694444444445,6.167942708333333,151505.6
WF-BR-0PI-1219-Y1-A-001,P390352,20.0,UN,3.19,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,36 days 18:49:24.705882353,15.699820788530467,3.2155824372759856,151505.6
WF-BR-0PI-1219-Y1-A-001,GP110975,0.44,UN,5776.46,BRL-BRL,Oils and hydraulic s,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 12:51:25.714285714,0.013452380952380954,189.63128968253966,151505.6
WF-BR-0PI-1219-Y1-A-001,GP084723,1.0,UN,500.25,BRL-BRL,,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,59 days 16:25:15.789473684,0.03819444444444445,18.93095486111111,151505.6
WF-BR-0PI-1219-Y1-A-001,GP013211,575.0,L,9068.400000000001,BRL-BRL,Lubricants and refrigerants,10.049999999999997,121 days 06:00:00,12 days 23:10:49.756097561,2 days 17:01:12.075869336,26.434413580246915,351.2549228395062,151505.6
WF-BR-0PI-1219-Y1-A-001,GP119052,5.0,UN,46.59,BRL-BRL,Fuses / reducers / absorbers / condensers,10.049999999999997,41 days 00:00:00,12 days 23:10:49.756097561,161 days 10:30:00,0.10606060606060606,1.0374747474747474,151505.6
WF-BR-0PI-1219-Y1-A-001,AMB0155,3.0,UN,955.3299999999999,BRL-BRL,Ventilator / Fan/ Air heaters,10.049999999999997,837 days 12:00:00,12 days 23:10:49.756097561,61 days 08:28:14.117647059,0.06481481481481483,17.3065873015873,151505.6
WF-BR-0PI-1219-Y1-A-001,GP091016,10.0,UN,1920.38,BRL-BRL,Fuses / reducers / absorbers / condensers,10.049999999999997,193 days 12:00:00,12 days 23:10:49.756097561,127 days 09:08:34.285714286,0.11706349206349206,30.904007936507938,151505.6
WF-BR-0PI-1219-Y1-A-001,GP023867,9.0,UN,121.73,BRL-BRL,Electrical connectors / terminals / electrics compartments /,10.049999999999997,41 days 00:00:00,12 days 23:10:49.756097561,127 days 12:00:00,0.3333333333333333,5.100534188034189,151505.6
WF-BR-0PI-1219-Y1-A-001,GP202343,77.0,L,2396.7400000000002,BRL-BRL,Paints / Anti-corros,10.049999999999997,975 days 12:00:00,12 days 23:10:49.756097561,48 days 04:10:26.086956521,0.3768353174603175,13.643670634920634,151505.6
WF-BR-0PI-1219-Y1-A-001,GP183506,8.0,UN,2895.28,BRL-BRL,Other composites,10.049999999999997,64 days 00:00:00,12 days 23:10:49.756097561,50 days 12:16:44.651162790,0.14484126984126985,44.83510912698412,151505.6
WF-BR-0PI-1219-Y1-A-001,GP011987,1.0,UN,1031.79,BRL-BRL,Bearings (ball / roller),10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,106 days 08:00:00,0.03888888888888889,40.75219444444445,151505.6
WF-BR-0PI-1219-Y1-A-001,GP040689,5.0,UN,1605.78,BRL-BRL,,10.049999999999997,408 days 08:00:00,12 days 23:10:49.756097561,30 days 07:15:20.930232558,0.07598039215686275,34.6277614379085,151505.6
WF-BR-0PI-1219-Y1-A-001,P393237,4.0,UN,2503.8900000000003,BRL-BRL,Electrical others,10.049999999999997,783 days 12:00:00,12 days 23:10:49.756097561,22 days 01:32:28.623853211,0.15538194444444445,102.51578993055556,151505.6
WF-BR-0PI-1219-Y1-A-001,GP037930,1.0,UN,929.43,BRL-BRL,,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,327 days 10:17:08.571428572,0.03968253968253968,54.186349206349206,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004976,2.0,UN,445.82,BRL-BRL,Fibre optic equipment,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,236 days 17:08:34.285714284,0.03571428571428572,7.954642857142856,151505.6
WF-BR-0PI-1219-Y1-A-001,GP001017,100.0,UN,121.0,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,280 days 03:25:42.857142856,2.2261904761904763,2.6408333333333336,151505.6
WF-BR-0PI-1219-Y1-A-001,GP023855,3.0,UN,317.05,BRL-BRL,Semiconductor and accessory equipment,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,781 days 00:00:00,0.05555555555555555,6.245694444444444,151505.6
WF-BR-0PI-1219-Y1-A-001,GP034744,1.0,UN,6864.8,BRL-BRL,Rotative joint,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,88 days 02:49:24.705882353,0.041666666666666664,305.0059953703704,151505.6
WF-BR-0PI-1219-Y1-A-001,GP134147,2.0,UN,408.89,BRL-BRL,Ventilator / Fan/ Air heaters,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,52 days 01:39:18.620689655,0.07407407407407407,19.76016975308642,151505.6
WF-BR-0PI-1219-Y1-A-001,GP011149,2.0,UN,135.58,BRL-BRL,Switches,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,414 days 00:00:00,0.09722222222222222,6.513333333333334,151505.6
WF-BR-0PI-1219-Y1-A-001,GP023911,2.0,UN,46.59,BRL-BRL,Electrical connectors / terminals / electrics compartments /,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,674 days 00:00:00,0.034722222222222224,1.1482638888888888,151505.6
WF-BR-0PI-1219-Y1-A-001,GP022119,5.0,KG,201.87,BRL-BRL,Consumible,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,243 days 14:24:00,0.17865740740740743,11.62337962962963,151505.6
WF-BR-0PI-1219-Y1-A-001,GP019521,1.0,UN,414.16,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,300 days 08:00:00,0.041666666666666664,18.557407407407407,151505.6
